group,A,B,C,D
Aurand Run connection to P1,0.1174,0.988347895,0.0736,2.138595
Aurand Run downstream,0.0455,0.936507365,0.0579,1.329910333
Aurand Run upstream,0.039,0.568291677,0.0908625,2.8381375
Wetland Pool 1,0.186387097,0.566540175,0.342288889,0.427317029
Wetland Pool 11,0.118666667,0.187678736,0.5,0.1391
Wetland Pool 12,0.365888889,0.383195746,0.598,0.1022
Wetland Pool 14,0.28025,0.12617441,0.041733333,0.280889
Wetland Pool 15,0.159,0.683534551,0.067,0.061633333
Wetland Pool 16,0.1,0.110220275,0.34,0.04125
Wetland Pool 18,0.099846154,0.797074385,0.12544,0.113521125
Wetland Pool 19,0.176555556,0.715368348,0.3717,0.1208
Wetland Pool 2,0.272833333,0.8400609,0.032,0.13154775
Wetland Pool 20,0.477333333,0.758051024,0.0356,0.087420554
Wetland Pool 21,0.1114,0.382857019,0.67,0.0655
Wetland Pool 22,0.178333333,0.029601694,0.0515,0.165781
Wetland Pool 24,0.227,0.71239233,0.67,0.05855
Wetland Pool 25,0.181857143,0.897167704,0.07935,0.0902
Wetland Pool 26,0.108555556,0.270900088,0.04,0.073133333
Wetland Pool 27,0.235333333,0.279112228,0.0639,0.0637
Wetland Pool 28,0.365666667,0.438231337,0.02,0.07165
Wetland Pool 29,0.673833333,0.977328686,0.2526,0.0674
Wetland Pool 3,0.054333333,0.781456936,0.0445,0.125
Wetland Pool 30,0.176909091,0.595182722,0.4448,0.1876125
Wetland Pool 31,0.244285714,0.236478685,0.085266667,0.09945
Wetland Pool 33,0.3428,0.470658346,0.005,0.0684
Wetland Pool 34,0.123222222,0.620104416,0.124766667,0.08424
Wetland Pool 35,0.141875,0.643759336,0.1732,0.07195
Wetland Pool 36,0.2032,0.240821672,1.9395,0.21642
Wetland Pool 37,0.0912,0.036582961,0.2,0.0872234
Wetland Pool 38,0.167166667,0.71531795,0.0737,0.0903168
Wetland Pool 39,0.10725,0.293062502,0.0147,0.0715
Wetland Pool 4,0.151636364,0.341548127,0.09705,0.13835
Wetland Pool 40,0.088074074,0.562307239,0.04554,0.074735188
Wetland Pool 41,0.56875,0.095769742,0.9,0.0732
Wetland Pool 42,0.354727273,0.844939193,0.039575,0.096142857
Wetland Pool 43,0.131666667,0.391255994,0.261366667,2.18084
Wetland Pool 5,0.319666667,0.118582953,0.2551,0.0566
Wetland Pool 7,0.091,0.377162308,0.7,0.08605
Wetland Pool 8,0.326833333,0.12317877,1.2161,0.112525
Wetland Pool 9,0.23,0.608969381,0.2761,0.114183333
Wetland Pool 6,0.3162,0.822698181,0.0598,0.178633333
Wetland Pool 13,0.1462,0.227118162,0.7,0.107575
Wetland Pool 10,0.2525,0.286128492,0.44,0.08205
Wetland Pool 17,0.073,0.122731143,0.011,0.052
Wetland Pool 32,0.055,0.727055587,0.3066,0.62285
