date,value
2021-07-30,0
2021-08-27,0.0144
2022-04-01,0
2022-04-15,0.0243
2022-07-14,0.0286
2022-08-18,0.0306
2022-09-20,0.0562
2022-11-01,0
2022-11-29,0.2631
2023-02-23,0.098
2023-06-15,0
2021-07-30,0
2021-08-27,0
2022-04-01,0
2022-04-15,0.0322
2022-07-14,0.0483
2022-08-18,0.0279
2022-09-20,0
2022-11-01,0
2022-11-29,0.1024
2023-04-18,0
2023-06-15,0
2023-07-26,0.0787
2021-08-27,0.0413
2022-04-15,0.0175
2022-07-14,0.0633
2022-08-18,0.1359
2022-09-20,0.0706
2022-11-01,0.1437
2022-11-29,0.2311
2023-04-18,0
2023-06-15,0.0235
2023-07-26,0
2021-05-27,0.272
2021-05-27,0.208
2021-07-30,0
2021-07-30,0
2021-08-27,0
2021-08-27,0
2021-10-22,0
2021-10-22,0.0116
2021-10-22,0
2021-10-22,0
2021-12-01,0
2021-12-01,0
2021-12-01,0
2022-04-01,0
2022-04-15,0
2022-06-15,0
2022-06-15,0
2022-06-15,0
2022-06-15,0
2022-06-15,0
2022-06-15,0
2022-07-14,0
2022-07-14,0
2022-07-14,0
2022-08-18,0
2022-08-18,0
2022-08-18,0
2022-09-20,0
2022-09-20,0
2022-09-20,0
2022-09-20,0
2022-11-01,0.0898
2022-11-29,0.045
2022-11-29,0.1126
2022-11-29,2.2689
2023-02-23,0
2023-02-23,0
2023-02-23,0
2023-04-18,0.0213
2023-04-18,0.0514
2023-04-18,0
2023-06-07,0
2023-06-07,0
2023-06-15,0
2023-06-15,0
2023-06-15,0
2023-07-26,0
2023-07-26,0
2023-07-26,0
2021-05-27,0.031
2021-05-27,0.033
2021-07-30,0
2021-08-27,0
2022-04-01,0
2022-07-14,0
2021-05-27,0.059
2021-05-27,0.03
2022-04-01,0
2021-08-27,0.1956
2022-04-01,0
2022-07-14,0
2022-08-18,0
2022-09-20,0
2022-11-01,0
2022-11-01,0
2022-11-29,0.1376
2022-11-29,0.0283
2023-04-18,0
2023-06-15,0
2023-07-26,0.0267
2021-08-27,0.2551
2022-04-15,0
2022-07-14,0
2022-04-01,0
2022-07-14,0
2022-08-18,0
2023-04-18,0
2023-06-15,0.0598
2021-08-27,0
2022-04-01,0
2021-08-27,0
2022-04-01,0
2022-07-14,0
2022-08-18,0
2023-04-18,0
2023-06-15,1.2161
2021-08-27,0
2022-04-01,0
2022-07-14,0
2022-08-18,0
2022-09-20,0
2022-11-01,0
2022-11-01,0
2022-11-29,0.2947
2022-11-29,0.2575
