date,value
2021-07-30,0.378045
2021-08-27,0.1609
2022-04-01,1.7361
2022-04-15,5.8641
2022-07-14,0.3119
2022-08-18,0.4943
2022-09-20,0.1076
2022-11-01,0.3615
2022-11-29,0.2758
2023-02-23,9.3702
2023-06-15,4.4641
2021-07-30,0.406124
2021-08-27,0.1214
2022-04-01,1.6937
2022-04-15,6.4222
2022-07-14,0.3403
2022-08-18,0.5079
2022-09-20,0.094
2022-11-01,0.3612
2022-11-29,0.2875
2023-04-18,0.945
2023-06-15,4.4833
2023-07-26,0.2963
2021-08-27,0.0979
2022-04-15,6.8319
2022-07-14,0.2834
2022-08-18,0.3647
2022-09-20,0
2022-11-01,0.3037
2022-11-29,0.2674
2023-04-18,0.6109
2023-06-15,13.9452
2023-07-26,0
2021-05-27,0.565
2021-05-27,0.563
2021-07-30,0.172362
2021-07-30,0.170217
2021-08-27,0
2021-08-27,0.078
2021-10-22,0.0621
2021-10-22,0.0558
2021-10-22,0.0564
2021-10-22,0.0534
2021-12-01,0.0304
2021-12-01,0.0361
2021-12-01,0.0277
2022-04-01,0.1785
2022-04-15,0.0721
2022-06-15,0.7441
2022-06-15,0.5507
2022-06-15,0.4366
2022-06-15,0.1682
2022-06-15,0
2022-06-15,0.017
2022-07-14,0.069
2022-07-14,0.0777
2022-07-14,0
2022-08-18,0
2022-08-18,0
2022-08-18,0
2022-09-20,0
2022-09-20,0
2022-09-20,0
2022-09-20,0
2022-11-01,0.1946
2022-11-29,0
2022-11-29,0
2022-11-29,8.0644
2023-02-23,0.1849
2023-02-23,0.078
2023-02-23,0.4357
2023-04-18,0.291
2023-04-18,0.1318
2023-04-18,0.132
2023-06-07,0
2023-06-07,0
2023-06-15,0.2741
2023-06-15,0.1805
2023-06-15,0.2286
2023-07-26,0.0792
2023-07-26,0.0696
2023-07-26,0
2021-05-27,0
2021-05-27,0
2021-07-30,0.188591
2021-08-27,0.1556
2022-04-01,0.1226
2022-07-14,0.0594
2021-05-27,0
2021-05-27,0
2022-04-01,0.125
2021-08-27,0
2022-04-01,0.1169
2022-07-14,0.0922
2022-08-18,0
2022-09-20,0
2022-11-01,0.1606
2022-11-01,0.165
2022-11-29,0
2022-11-29,0
2023-04-18,0.1222
2023-06-15,0.1732
2023-07-26,0
2021-08-27,0.05
2022-04-15,0.0534
2022-07-14,0.0664
2022-04-01,0.1688
2022-07-14,0
2022-08-18,0
2023-04-18,0.1234
2023-06-15,0.2437
2021-08-27,0.0504
2022-04-01,0.1217
2021-08-27,0
2022-04-01,0.0986
2022-07-14,0.0502
2022-08-18,0
2023-04-18,0.1255
2023-06-15,0.1758
2021-08-27,0.0503
2022-04-01,0.1372
2022-07-14,0.0565
2022-08-18,0
2022-09-20,0
2022-11-01,0.1742
2022-11-01,0.1579
2022-11-29,0
2022-11-29,0
2023-04-18,0.109
2023-07-26,0
2022-04-15,0.0447
2023-04-18,0.1194
2021-08-27,0
2022-04-01,0.1422
2023-04-18,0.136
2021-08-27,0.0564
2022-04-01,0.1138
2022-04-01,0.1294
2022-04-15,0.037
2022-07-14,0.0709
2022-08-18,0
2022-09-20,0
2023-04-18,0.1192
2023-06-15,0.1887
2022-04-01,0.1248
2022-04-15,0.0553
2022-07-14,0.0505
2022-08-18,0
2023-06-15,0.1997
2021-05-27,0
2021-07-30,0.681067
2022-04-15,0.0673
2022-07-14,0.0943
2021-08-27,0.0616
2022-04-15,0.0604
2022-07-14,0.0629
2021-08-27,0.0278
2022-04-15,0.0547
2022-04-15,0.052
2021-05-27,0.01
2021-07-30,0.164269
2021-08-27,0.0629
2022-04-01,0.1161
2022-07-14,0
2022-08-18,0
2022-09-20,0
2022-11-01,0.1614
2022-11-01,0.174
2022-11-29,0.1067
2022-11-29,0
2023-04-18,0.1128
2023-06-15,0
2023-07-26,0
2021-08-27,0.0246
2022-04-15,0.0644
2022-07-14,0
2022-08-18,0
2022-09-20,0
2022-11-01,0.1811
2022-11-29,0
2023-04-18,0.1203
2023-06-15,0.2136
2021-07-30,0.166595
2021-09-27,0.0547
2022-04-15,0.0423
2022-07-27,0.0204
2022-07-27,0.0126
2022-09-21,0
2022-09-21,0
2022-11-02,0.157
2022-11-02,0
2022-11-17,0.1019
2022-12-01,0.0913
2022-12-01,0
2023-06-07,0.13373109
2023-06-07,0
2023-06-14,0.1097
2023-06-14,0.0714
2023-07-25,0
2023-07-25,0
2021-09-27,0.0938
2022-04-15,0.0445
2022-07-14,0.0582
2022-08-11,0
2022-09-21,0
2021-05-27,0
2021-07-30,0.158405
2021-09-27,0.0741
2022-04-15,0.0433
2022-07-14,0.0539
2023-06-14,0.4992
2021-09-27,0.0592
2022-07-14,0.0579
2021-05-27,0
2021-09-27,0.0721
2022-04-15,0.0758
2022-07-14,0
2022-08-11,0
2022-09-21,0
2023-04-18,0.1227
2021-09-27,0.0462
2022-07-14,0
2022-08-11,0
2022-09-21,0
2022-11-02,0
2022-11-02,0
2022-12-01,0
2022-12-01,0
2023-04-18,0.1173
2023-07-25,0.0559
2021-09-27,0.0626
2022-07-14,0.0648
2022-08-11,0
2021-09-27,0.0928
2022-07-14,0.0505
2022-08-11,0
2021-09-27,0.0648
2022-07-14,0.07
2022-08-11,0
2022-09-21,0
2022-11-02,0
2022-12-01,0
2021-09-27,0.0558
2022-04-15,0.0545
2022-07-14,0.0836
2022-08-11,0
2022-09-21,0
2022-11-02,0
2022-11-02,0
2022-12-01,0.2118
2023-02-23,0.8054
2023-04-18,0.1119
2023-06-14,0.1102
2023-07-25,0.0677
2021-09-27,0.0565
2022-07-14,0.0921
2022-08-11,0
2023-02-23,0.121
2023-02-23,0.1544
2023-04-18,0.1015
2023-06-14,0.0712
2023-04-18,0.1107
2023-06-14,1.135
2021-09-27,0.0465
2022-07-14,0.059
2022-08-11,0
2022-09-21,0
2023-06-14,0.0997
2021-09-27,0.0565
2022-07-14,0.0507
2022-08-11,0
2022-09-21,0
2022-11-02,0
2022-12-01,0
2022-12-01,0
2023-04-18,0.1248
2023-06-14,0.1032
2023-07-25,0.086
2021-09-27,0.0573
2022-04-15,0.0463
2022-07-14,0.0682
2022-08-11,0
2022-09-21,0
2022-11-02,0
2022-12-01,0
2023-06-14,0.116
2021-09-27,0.0579
2022-04-15,0.0526
2023-02-23,0.2653
2023-04-18,0.132
2023-06-14,0.5743
2021-07-30,0.171317
2021-09-27,0.0534
2022-04-15,0.0403
2022-07-14,0.0692
2023-04-18,0.1019
2021-07-30,0.158084
2021-09-27,0.0566
2022-04-15,0.0433
2022-07-14,0.0631
2022-08-11,0
2023-06-14,0.1305
2021-09-27,0.0717
2022-04-15,0.0255
2022-07-14,0
2022-08-11,0
2022-09-21,0
2022-11-02,0
2022-12-01,0
2023-04-18,0.1173
2023-07-25,0
2021-07-30,0.159463
2021-09-27,0.0807
2021-10-22,0.0762
2021-10-22,0.0652
2021-10-22,0.1173
2021-10-22,0.0428
2021-12-01,0.0644
2021-12-01,0.0285
2022-04-15,0.0295
2022-06-15,0
2022-06-15,0
2022-07-14,0.0521
2022-07-27,0.0227
2022-07-27,0.0367
2022-08-11,0
2022-09-21,0
2022-11-02,0
2022-11-02,0
2022-11-17,0.0882
2022-11-17,0.1049
2022-11-17,0.0934
2022-12-01,0
2022-12-01,0
2023-04-18,0.1337
2023-06-07,0
2023-06-07,0
2023-06-07,0
2023-07-25,0
2021-09-27,0.0627
2022-07-14,0.0837
2022-08-11,0
2022-09-21,0
2021-09-27,0.0462
2022-04-15,0.0514
2022-07-14,0.0834
2022-08-11,0
2022-09-21,0
2022-11-02,0
2022-12-01,0
2023-02-23,0.1132
2023-02-23,0.1092
2023-04-18,0.1208
2023-06-14,0.1488
2023-07-25,0
2021-09-27,0.0529
2022-07-14,0.0727
2022-08-11,0
2022-09-21,10.4724
2023-04-18,0.218
2023-06-14,0.0882
