date,value
2021-07-30,0
2021-08-27,0.0573
2022-04-01,0
2022-04-15,0
2022-07-14,0
2022-08-18,0
2022-09-20,0.0144
2022-11-01,0
2022-11-29,0
2023-02-23,0.16
2023-06-15,0
2021-07-30,0
2021-08-27,0
2022-04-01,0
2022-04-15,0
2022-07-14,0
2022-08-18,0
2022-09-20,0.0118
2022-11-01,0
2022-11-29,0
2023-04-18,0
2023-06-15,0
2023-07-26,0.0133
2021-08-27,0
2022-04-15,0.0236
2022-07-14,0
2022-08-18,0
2022-09-20,0
2022-11-01,0
2022-11-29,0
2023-04-18,0
2023-06-15,0
2023-07-26,0
2021-05-27,0.017
2021-05-27,0.026
2021-07-30,0
2021-07-30,0
2021-08-27,0
2021-08-27,0.0013
2021-10-22,0
2021-10-22,0
2021-10-22,0
2021-10-22,0
2021-12-01,0.0113
2021-12-01,0
2021-12-01,0
2022-04-01,0
2022-04-15,0
2022-06-15,0.0341
2022-06-15,0.0285
2022-06-15,0.0479
2022-06-15,0.0467
2022-06-15,0
2022-06-15,0
2022-07-14,0
2022-07-14,0
2022-07-14,0
2022-08-18,0
2022-08-18,0
2022-08-18,0
2022-09-20,0
2022-09-20,0
2022-09-20,0
2022-09-20,0
2022-11-01,0.0134
2022-11-29,0
2022-11-29,0
2022-11-29,0
2023-02-23,0
2023-02-23,0
2023-02-23,0.081
2023-04-18,0
2023-04-18,0
2023-04-18,0
2023-06-07,0
2023-06-07,0
2023-06-15,0
2023-06-15,0
2023-06-15,0
2023-07-26,0
2023-07-26,0
2023-07-26,0
2021-05-27,0
2021-05-27,0
2021-07-30,0.054216
2021-08-27,0
2022-04-01,0
2022-07-14,0.016
2021-05-27,0.01
2021-05-27,0.017
2022-04-01,0
2021-08-27,0.0323
2022-04-01,0
2022-07-14,0
2022-08-18,0
2022-09-20,0
2022-11-01,0
2022-11-01,0
2022-11-29,0
2022-11-29,0
2023-04-18,0
2023-06-15,0.0174
2023-07-26,0.0435
2021-08-27,0.0176
2022-04-15,0
2022-07-14,0
2022-04-01,0
2022-07-14,0.0113
2022-08-18,0
2023-04-18,0
2023-06-15,0.0414
2021-08-27,0
2022-04-01,0
2021-08-27,0.0772
2022-04-01,0
2022-07-14,0
2022-08-18,0.0195
2023-04-18,0
2023-06-15,0.1776
2021-08-27,0
2022-04-01,0
2022-07-14,0
2022-08-18,0
2022-09-20,0
2022-11-01,0
2022-11-01,0
2022-11-29,0
2022-11-29,0
2023-04-18,0
2023-07-26,0.0169
2022-04-15,0
2023-04-18,0.1673
2021-08-27,0
2022-04-01,0
2023-04-18,0.0334
2021-08-27,0
2022-04-01,0
2022-04-01,0
2022-04-15,0
