group,A,B,C,D
Aurand Run connection to P1,332.1180747,75.39778399,321.0472595,241.5101423
Aurand Run downstream,303.7608882,241.7866789,343.1289882,318.0618362
Aurand Run upstream,320.8079755,237.702294,80.87911559,220.0924264
Wetland Pool 1,300.451144,154.4195194,253.6395551,216.4030063
Wetland Pool 11,117.7428064,97.01170431,281.9019535,74.56378176
Wetland Pool 12,256.3407085,201.7994553,222.8767586,120.5846572
Wetland Pool 14,277.7156158,235.231873,132.5394313,223.9553858
Wetland Pool 15,227.0957927,266.5074817,84.20695403,143.0143763
Wetland Pool 16,152.6869066,314.3352259,201.0027435,346.1168012
Wetland Pool 18,213.9084722,177.0501693,269.8128556,161.4546113
Wetland Pool 19,82.64426353,265.5392487,273.1664136,302.2550168
Wetland Pool 2,362.9017186,215.8133329,214.2445147,325.1585234
Wetland Pool 20,348.387843,353.893244,122.2141519,116.86198
Wetland Pool 21,361.4691516,233.990548,214.8769321,216.5333444
Wetland Pool 22,261.2186166,96.84258055,123.3388314,137.9434697
Wetland Pool 24,215.4737552,198.3217911,228.0038008,324.923413
Wetland Pool 25,223.2567657,129.2604969,148.5429724,277.944409
Wetland Pool 26,276.7395267,232.8039704,85.10157587,72.97858866
Wetland Pool 27,85.17145747,305.7967816,145.7385918,327.6693932
Wetland Pool 28,124.8345113,284.7721889,78.40720034,153.4110792
Wetland Pool 29,236.6184915,190.2511662,288.1022612,301.9667223
Wetland Pool 3,347.5900516,243.4418663,201.8969964,144.9601703
Wetland Pool 30,223.3168411,156.525892,283.2872697,72.51731153
Wetland Pool 31,265.6706401,265.299524,251.9156139,277.5033828
Wetland Pool 33,141.5525911,126.4426468,99.8616312,129.3020732
Wetland Pool 34,240.4927142,254.8317158,222.612052,186.3062347
Wetland Pool 35,80.02071043,268.8204968,183.811275,263.045836
Wetland Pool 36,73.93944189,91.82994093,224.3823436,329.0716194
Wetland Pool 37,101.0381457,85.92080415,249.804556,130.0447103
Wetland Pool 38,119.0458016,147.5446622,119.2082162,304.69279
Wetland Pool 39,362.2093606,223.3467447,310.7605763,174.0781986
Wetland Pool 4,295.1172792,183.8275818,244.7730142,70.09457533
Wetland Pool 40,368.2192376,293.8496425,171.1455387,287.1538269
Wetland Pool 41,259.4922209,263.8941298,148.0312268,160.3391997
Wetland Pool 42,199.1562626,141.001872,157.8164913,200.1178588
Wetland Pool 43,299.7124491,366.7006805,256.2400614,144.2486228
Wetland Pool 5,112.138721,368.9525689,141.865792,311.4476131
Wetland Pool 7,71.7875095,300.2924411,248.7708582,204.4382158
Wetland Pool 8,315.0138416,351.8290091,326.6506663,113.5051
Wetland Pool 9,226.6414634,205.4471599,161.9420627,335.1704551
Wetland Pool 6,152.0842453,122.972392,216.1750792,234.6024146
Wetland Pool 13,156.0798344,337.321172,314.8786012,161.273213
Wetland Pool 10,346.1668317,87.98098653,312.8188865,152.6671165
Wetland Pool 17,76.4525937,236.0744741,300.2951016,154.4216872
Wetland Pool 32,255.1732926,202.7277402,333.6252652,300.7057552
