group,A,B,C,D
Aurand Run connection to P1,61.69018315,174.3904028,197.8546129,128.1506222
Aurand Run downstream,146.7908199,156.7053137,166.1551196,129.9091878
Aurand Run upstream,98.79514317,178.5716239,199.2944058,170.0871362
Wetland Pool 1,209.431683,167.5330832,64.37327949,143.0389471
Wetland Pool 11,80.62236444,125.0115873,170.0335964,174.0871149
Wetland Pool 12,60.45738734,144.1158841,85.78693271,158.1373566
Wetland Pool 14,186.4408483,185.4165464,81.00818587,97.89783623
Wetland Pool 15,167.2443599,83.14449771,107.2086141,171.8246205
Wetland Pool 16,124.9529423,180.1380906,193.1807344,178.7344208
Wetland Pool 18,73.1993141,130.0850022,79.04982362,54.93144886
Wetland Pool 19,56.31973468,138.2165434,60.07244281,96.85588709
Wetland Pool 2,187.4573247,53.07025209,105.0186389,77.89630655
Wetland Pool 20,116.8607562,129.0240863,61.49535958,182.0454859
Wetland Pool 21,203.1958708,109.8864757,52.25599593,91.00964603
Wetland Pool 22,194.1758411,76.67014609,92.15492562,106.6684556
Wetland Pool 24,145.7727883,124.2520712,193.9875693,134.2297417
Wetland Pool 25,196.9250219,117.0859665,185.9020224,171.270112
Wetland Pool 26,176.0741308,158.185663,147.7205382,109.6177794
Wetland Pool 27,192.9730897,70.36856211,191.6511583,63.31884183
Wetland Pool 28,154.500152,199.070879,133.6472323,62.36282339
Wetland Pool 29,98.20233683,180.3393721,109.4884387,191.9846072
Wetland Pool 3,67.49565567,59.24579946,189.9958338,148.6820956
Wetland Pool 30,173.0545163,192.2037067,52.61195686,183.7998552
Wetland Pool 31,138.5942244,102.2285197,84.18236766,126.0560348
Wetland Pool 33,91.52909362,140.4938611,53.04744396,119.4047507
Wetland Pool 34,138.887325,105.640993,159.5324838,132.7706196
Wetland Pool 35,145.8405284,205.8754402,110.6533392,110.6176153
Wetland Pool 36,180.06976,59.51644956,51.9118328,61.30957418
Wetland Pool 37,118.9147362,84.89771769,52.79303516,187.3669098
Wetland Pool 38,85.35650906,74.90305942,140.7499733,102.9456402
Wetland Pool 39,206.3850499,66.5727116,177.8360661,131.4645266
Wetland Pool 4,70.56789543,177.1166256,167.6266907,183.7813276
Wetland Pool 40,184.2768128,197.3647477,195.9952766,150.2204974
Wetland Pool 41,136.6425511,197.1260169,152.0850916,60.22858928
Wetland Pool 42,155.8912816,58.46991958,208.9577449,207.9360449
Wetland Pool 43,157.0729823,78.89590958,162.1472331,62.85416778
Wetland Pool 5,78.74168874,81.1596484,100.8050711,117.2486574
Wetland Pool 7,129.5688196,95.84285661,157.2263687,75.12550363
Wetland Pool 8,167.043291,100.0862735,181.8963331,158.8167578
Wetland Pool 9,128.6654422,120.5297573,65.93776467,103.2236218
Wetland Pool 6,74.23579623,137.5202839,143.5778955,135.7424831
Wetland Pool 13,206.7217908,168.1703698,139.9907386,98.87264147
Wetland Pool 10,64.01292908,165.5411725,63.31983794,56.49342609
Wetland Pool 17,123.7777723,148.3973569,53.72812461,177.3438896
Wetland Pool 32,175.3225086,72.19949951,115.938843,60.36968216
