group,A,B,C,D
Aurand Run connection to P1,36.39871714,22.5406723,20.08701223,4.399983012
Aurand Run downstream,36.92503675,23.71917577,24.48933459,37.66681885
Aurand Run upstream,10.03147523,15.30392034,34.38824024,14.07886916
Wetland Pool 1,14.2394432,31.45026106,39.9841533,33.77747026
Wetland Pool 11,30.3148168,3.845457293,20.72385335,29.23701138
Wetland Pool 12,13.79520365,36.26580727,36.39745027,21.96363897
Wetland Pool 14,15.73216497,8.130369236,12.35243987,9.847077557
Wetland Pool 15,31.03063896,29.80264332,35.30799511,27.7789267
Wetland Pool 16,37.37795369,29.17614362,16.86125072,9.689881121
Wetland Pool 18,2.350015063,37.1079363,23.54632815,14.288975
Wetland Pool 19,33.42721187,19.64560675,17.62699646,29.96679912
Wetland Pool 2,25.95353756,23.28586524,18.91816156,31.53561245
Wetland Pool 20,30.97534426,31.54496246,21.28993196,19.18678171
Wetland Pool 21,16.14571228,6.33894146,15.29609136,37.58126387
Wetland Pool 22,23.10903584,6.058565268,26.21435828,35.11367854
Wetland Pool 24,38.04412067,8.442723015,3.347121724,3.187171298
Wetland Pool 25,17.91344747,13.14024553,2.178574934,7.892756127
Wetland Pool 26,26.45625453,13.89837681,11.84041672,13.99844551
Wetland Pool 27,28.61919843,38.71221819,10.09454235,7.79666248
Wetland Pool 28,38.2757563,2.667762535,8.27172144,26.2127178
Wetland Pool 29,13.41469579,4.848429733,35.69090251,11.67052288
Wetland Pool 3,21.48992888,34.16748058,28.40607863,32.64441367
Wetland Pool 30,28.53712508,29.49251186,16.71515306,41.11348429
Wetland Pool 31,13.6977228,26.38931745,27.99473316,25.47768451
Wetland Pool 33,12.09101131,3.855128491,36.26697343,14.55138056
Wetland Pool 34,27.81536921,31.49630818,27.10127433,11.50745286
Wetland Pool 35,31.12980451,9.592333009,36.07520605,18.89830553
Wetland Pool 36,40.42484726,40.56510406,37.9212533,41.68685772
Wetland Pool 37,20.2796156,25.4626605,35.21426346,28.49416196
Wetland Pool 38,29.09905368,29.10030199,35.33172275,23.37057521
Wetland Pool 39,16.3646877,39.80613923,5.520897282,20.12642675
Wetland Pool 4,28.17522562,32.45136313,28.29925733,2.572675032
Wetland Pool 40,18.65636483,34.51348209,15.43929091,31.54718599
Wetland Pool 41,25.67260104,22.76527505,6.255425308,14.06182567
Wetland Pool 42,26.95446082,19.76134653,7.928111584,23.89793426
Wetland Pool 43,13.77423848,34.20435516,33.38781766,3.351167702
Wetland Pool 5,33.79955825,12.52449676,16.08362228,30.44345112
Wetland Pool 7,8.291032675,14.17343648,35.67998551,38.2519616
Wetland Pool 8,7.632215073,30.58874585,5.073966511,12.33233791
Wetland Pool 9,41.68159083,17.25527883,8.807285811,39.40808726
Wetland Pool 6,22.43309552,20.69157038,15.63570532,30.28867035
Wetland Pool 13,37.92044477,27.75166407,24.77332185,25.73183419
Wetland Pool 10,38.3508277,28.83267108,10.00301991,13.15379079
Wetland Pool 17,3.222814761,21.41969638,20.76807543,3.159821932
Wetland Pool 32,39.54577881,32.28552829,28.89744755,31.14592414
