group,A,B,C,D
Aurand Run connection to P1,12.08254008,9.952378934,6.261530203,11.04062639
Aurand Run downstream,9.171617507,12.03010608,9.376714092,5.605583343
Aurand Run upstream,6.643961132,12.57947643,10.73239247,5.727006613
Wetland Pool 1,7.925344928,7.770606872,6.685769947,9.799870861
Wetland Pool 11,8.018775731,9.02102219,6.96014949,10.39928619
Wetland Pool 12,10.25992004,8.539029938,6.944897817,6.145071398
Wetland Pool 14,8.675675489,6.10467736,5.991219298,9.574488776
Wetland Pool 15,9.85188526,6.132108942,11.25603319,6.10832421
Wetland Pool 16,11.93972965,9.144797103,5.746397165,12.48633013
Wetland Pool 18,9.505926065,7.308837887,12.33391768,12.16919078
Wetland Pool 19,10.56581841,11.3779109,10.6651661,11.4436486
Wetland Pool 2,6.861367438,6.440725361,10.15937849,12.36484802
Wetland Pool 20,9.497800008,5.966854783,10.68515009,7.44931163
Wetland Pool 21,11.26203453,10.61600914,5.616250261,11.82450948
Wetland Pool 22,6.79253513,6.404867529,6.27734789,11.54968701
Wetland Pool 24,7.989204292,7.030949576,10.09980709,11.55230533
Wetland Pool 25,7.80721482,7.353992911,11.65215544,5.951891927
Wetland Pool 26,10.63518965,7.355744944,11.19546483,7.244508939
Wetland Pool 27,7.59693897,6.553935542,11.66293878,10.01562435
Wetland Pool 28,10.54390485,11.30348013,12.51455497,10.54826213
Wetland Pool 29,12.07962384,12.11769886,10.33341901,10.467713
Wetland Pool 3,9.437446734,11.61891887,11.4011732,6.779024994
Wetland Pool 30,12.49707249,8.636934043,11.08841577,11.20768295
Wetland Pool 31,11.8536475,11.71959659,7.262078816,7.225523024
Wetland Pool 33,11.34836066,11.86655151,10.49868562,8.162809485
Wetland Pool 34,8.097559216,12.09044425,12.27014475,12.1711883
Wetland Pool 35,9.473326108,6.59561034,12.02659192,10.04803558
Wetland Pool 36,11.90433176,8.877514405,10.31494311,11.51123345
Wetland Pool 37,12.24532802,11.51859523,10.72643864,8.68995455
Wetland Pool 38,11.5029137,9.904571864,8.016002752,7.256446211
Wetland Pool 39,7.759293143,12.15217781,8.818112724,7.326459761
Wetland Pool 4,8.166266615,7.034585758,12.54873683,6.00828963
Wetland Pool 40,9.119841607,12.03546486,6.715707263,10.81767133
Wetland Pool 41,7.965506596,8.389715233,8.982722525,8.883741582
Wetland Pool 42,10.98225154,9.283545171,6.770182022,10.87109692
Wetland Pool 43,11.68877999,10.20527347,10.45749927,5.826487609
Wetland Pool 5,12.32395286,10.99521052,9.918413231,8.053328832
Wetland Pool 7,10.37434045,7.597419761,7.251479876,11.16841975
Wetland Pool 8,12.04642195,10.5581437,8.738571276,10.29313946
Wetland Pool 9,6.277433413,12.32990373,11.71826809,10.70731814
Wetland Pool 6,10.87704553,10.85993318,9.758718788,5.997150687
Wetland Pool 13,10.22581481,5.896442748,12.10032896,8.915753048
Wetland Pool 10,6.46371651,8.434219616,9.26700938,7.761041675
Wetland Pool 17,11.9443508,11.96496608,6.220994666,10.05790289
Wetland Pool 32,10.17207693,8.658235587,11.37810804,10.03020376
