date,value
2021-07-30,0
2021-08-27,0
2022-04-01,0
2022-04-15,0
2022-07-14,0
2022-08-18,0
2022-09-20,0
2022-11-01,0
2022-11-29,0
2023-02-23,0
2023-06-15,0
2021-07-30,0
2021-08-27,0
2022-04-01,0
2022-04-15,0
2022-07-14,0
2022-08-18,0
2022-09-20,0
2022-11-01,0
2022-11-29,0
2023-04-18,0
2023-06-15,0
2023-07-26,0
2021-08-27,0
2022-04-15,0
2022-07-14,0
2022-08-18,0
2022-09-20,0
2022-11-01,0
2022-11-29,0
2023-04-18,0
2023-06-15,0
2023-07-26,0
2021-05-27,0.031
2021-05-27,0.061
2021-07-30,0
2021-07-30,0
2021-08-27,0
2021-08-27,0
2021-10-22,0
2021-10-22,0
2021-10-22,0
2021-10-22,0
2021-12-01,0
2021-12-01,0
2021-12-01,0
2022-04-01,0
2022-04-15,0
2022-06-15,0
2022-06-15,0
2022-06-15,0
2022-06-15,0
2022-06-15,0
2022-06-15,0
2022-07-14,0
2022-07-14,0
2022-07-14,0
2022-08-18,0
2022-08-18,0
2022-08-18,0
2022-09-20,0
2022-09-20,0
2022-09-20,0
2022-09-20,0
2022-11-01,0
2022-11-29,0
2022-11-29,0
2022-11-29,0
2023-02-23,0
2023-02-23,0
2023-02-23,0
2023-04-18,0
2023-04-18,0
2023-04-18,0
2023-06-07,0
2023-06-07,0
2023-06-15,0
2023-06-15,0
2023-06-15,0
2023-07-26,0
2023-07-26,0
2023-07-26,0
2021-05-27,0.055
2021-05-27,0.056
2021-07-30,0
2021-08-27,0
2022-04-01,0
2022-07-14,0
2021-05-27,0.043
2021-05-27,0.05
2022-04-01,0
2021-08-27,0
2022-04-01,0
2022-07-14,0
2022-08-18,0
2022-09-20,0
2022-11-01,0
2022-11-01,0
2022-11-29,0
2022-11-29,0
2023-04-18,0
2023-06-15,0
2023-07-26,0
2021-08-27,0
2022-04-15,0
2022-07-14,0
2022-04-01,0
2022-07-14,0
2022-08-18,0
2023-04-18,0
2023-06-15,0
2021-08-27,0
2022-04-01,0
2021-08-27,0
2022-04-01,0
2022-07-14,0
2022-08-18,0
2023-04-18,0
2023-06-15,0
2021-08-27,0
2022-04-01,0
2022-07-14,0
2022-08-18,0
2022-09-20,0
2022-11-01,0
2022-11-01,0
2022-11-29,0
2022-11-29,0
2023-04-18,0
2023-07-26,0
2022-04-15,0
2023-04-18,0
2021-08-27,0
2022-04-01,0
2023-04-18,0
2021-08-27,0
2022-04-01,0
2022-04-01,0
2022-04-15,0
2022-07-14,0
2022-08-18,0
2022-09-20,0
2023-04-18,0
2023-06-15,0
2022-04-01,0
2022-04-15,0
2022-07-14,0
2022-08-18,0
2023-06-15,0
2021-05-27,0.022
2021-07-30,0
2022-04-15,0
2022-07-14,0
2021-08-27,0
2022-04-15,0
2022-07-14,0
2021-08-27,0
2022-04-15,0
2022-04-15,0
2021-05-27,0.064
2021-07-30,0
2021-08-27,0
2022-04-01,0
2022-07-14,0
2022-08-18,0
2022-09-20,0
2022-11-01,0
2022-11-01,0
2022-11-29,0
2022-11-29,0
2023-04-18,0
2023-06-15,0
2023-07-26,0
2021-08-27,0
2022-04-15,0
2022-07-14,0
2022-08-18,0
2022-09-20,0
2022-11-01,0
2022-11-29,0
2023-04-18,0
2023-06-15,0
2021-07-30,0
2021-09-27,0
2022-04-15,0
2022-07-27,0
2022-07-27,0
2022-09-21,0
2022-09-21,0
2022-11-02,0
2022-11-02,0
2022-11-17,0
2022-12-01,0
2022-12-01,0
2023-06-07,0
2023-06-07,0
2023-06-14,0
2023-06-14,0
2023-07-25,0
2023-07-25,0
2021-09-27,0
2022-04-15,0
2022-07-14,0
2022-08-11,0
2022-09-21,0
2021-05-27,0.027
2021-07-30,0
2021-09-27,0
2022-04-15,0
2022-07-14,0
2023-06-14,0
2021-09-27,0
2022-07-14,0
2021-05-27,0.249
2021-09-27,0
2022-04-15,0
2022-07-14,0
2022-08-11,0
2022-09-21,0
2023-04-18,0
2021-09-27,0
2022-07-14,0
2022-08-11,0
2022-09-21,0
2022-11-02,0
2022-11-02,0
2022-12-01,0
2022-12-01,0
2023-04-18,0
2023-07-25,0
2021-09-27,0
2022-07-14,0
2022-08-11,0
2021-09-27,0
2022-07-14,0
2022-08-11,0
2021-09-27,0
2022-07-14,0
2022-08-11,0
2022-09-21,0
2022-11-02,0
2022-12-01,0
2021-09-27,0
2022-04-15,0
2022-07-14,0
2022-08-11,0
2022-09-21,0
2022-11-02,0
2022-11-02,0
2022-12-01,0
2023-02-23,0
2023-04-18,0
2023-06-14,0
2023-07-25,0
2021-09-27,0
2022-07-14,0
2022-08-11,0
2023-02-23,0
2023-02-23,0
2023-04-18,0
2023-06-14,0
2023-04-18,0
2023-06-14,0
2021-09-27,0
2022-07-14,0
2022-08-11,0
2022-09-21,0
2023-06-14,0
2021-09-27,0
2022-07-14,0
2022-08-11,0
2022-09-21,0
2022-11-02,0
2022-12-01,0
2022-12-01,0
2023-04-18,0
2023-06-14,0
2023-07-25,0
2021-09-27,0
2022-04-15,0
2022-07-14,0
2022-08-11,0
2022-09-21,0
2022-11-02,0
2022-12-01,0
2023-06-14,0
2021-09-27,0
2022-04-15,0
2023-02-23,0
2023-04-18,0
2023-06-14,0
2021-07-30,0
2021-09-27,0
2022-04-15,0
2022-07-14,0
2023-04-18,0
2021-07-30,0
2021-09-27,0
2022-04-15,0
2022-07-14,0
2022-08-11,0
2023-06-14,0
2021-09-27,0
2022-04-15,0
2022-07-14,0
2022-08-11,0
2022-09-21,0
2022-11-02,0
2022-12-01,0
2023-04-18,0
2023-07-25,0
2021-07-30,0
2021-09-27,0
2021-10-22,0
2021-10-22,0
2021-10-22,0
2021-10-22,0
2021-12-01,0
2021-12-01,0
2022-04-15,0
2022-06-15,0
2022-06-15,0
2022-07-14,0
2022-07-27,0
2022-07-27,0
2022-08-11,0
2022-09-21,0
2022-11-02,0
2022-11-02,0
2022-11-17,0
2022-11-17,0
2022-11-17,0
2022-12-01,0
2022-12-01,0
2023-04-18,0
2023-06-07,0
2023-06-07,0
2023-06-07,0
2023-07-25,0
2021-09-27,0
2022-07-14,0
2022-08-11,0
2022-09-21,0
2021-09-27,0
2022-04-15,0
2022-07-14,0
2022-08-11,0
2022-09-21,0
2022-11-02,0
2022-12-01,0
2023-02-23,0
2023-02-23,0
2023-04-18,0
2023-06-14,0
2023-07-25,0
2021-09-27,0
2022-07-14,0
2022-08-11,0
2022-09-21,0
2023-04-18,0
2023-06-14,0
