date,value
2021-07-30,0.757
2021-08-27,1.509
2022-04-01,1.973
2022-04-15,6.591
2022-07-14,1.061
2022-08-18,0.693127
2022-09-20,0.21334
2022-11-01,0.358499
2022-11-29,0.35
2023-02-23,11.79
2023-06-15,4.54
2021-07-30,0.762
2021-08-27,0.982
2022-04-01,1.992
2022-04-15,7.272
2022-07-14,1.092
2022-08-18,0.662625
2022-09-20,0.220779
2022-11-01,0.337236
2022-11-29,0.37
2023-04-18,0.95
2023-06-15,4.7
2023-07-26,0
2021-08-27,0.817
2022-04-15,7.74
2022-07-14,0.983
2022-08-18,0.677876
2022-09-20,0.272056
2022-11-01,0.492202
2022-11-29,0.43
2023-04-18,0.73
2023-06-15,15.57
2023-07-26,0
2021-05-27,1.184
2021-05-27,1.154
2021-07-30,2.485
2021-07-30,2.339
2021-08-27,3.237
2021-08-27,5.075
2021-10-22,0
2021-10-22,1.483
2021-10-22,0
2021-10-22,0
2021-12-01,0.963
2021-12-01,1.021
2021-12-01,0.014
2022-04-01,1.878
2022-04-15,0.96
2022-06-15,1.9
2022-06-15,1.58
2022-06-15,1.63
2022-06-15,9.7
2022-06-15,0
2022-06-15,0
2022-07-14,0
2022-07-14,0
2022-07-14,3.332
2022-08-18,0.188071
2022-08-18,0.394685
2022-08-18,1.284713
2022-09-20,0
2022-09-20,0
2022-09-20,1.653387
2022-09-20,1.431975
2022-11-01,6.548918
2022-11-29,0
2022-11-29,0
2022-11-29,11.94
2023-02-23,0
2023-02-23,0
2023-02-23,1.49
2023-04-18,0
2023-04-18,0
2023-04-18,1.04
2023-06-07,0.95
2023-06-07,0.92
2023-06-15,0
2023-06-15,0
2023-06-15,1
2023-07-26,0
2023-07-26,0
2023-07-26,0
2021-05-27,1.107
2021-05-27,1.123
2021-07-30,1.972
2021-08-27,5.332
2022-04-01,0.69
2022-07-14,6.268
2021-05-27,0.957
2021-05-27,0.79
2022-04-01,0.564
2021-08-27,2.536
2022-04-01,0.416
2022-07-14,4.471
2022-08-18,1.378629
2022-09-20,1.831751
2022-11-01,2.161226
2022-11-01,2.057969
2022-11-29,1.64
2022-11-29,1.86
2023-04-18,1.08
2023-06-15,1.22
2023-07-26,0
2021-08-27,5.152
2022-04-15,0.759
2022-07-14,5.204
2022-04-01,0.824
2022-07-14,3.155
2022-08-18,2.408968
2023-04-18,1.03
2023-06-15,5.86
2021-08-27,2.134
2022-04-01,0.647
2021-08-27,2.463
2022-04-01,0.504
2022-07-14,3.313
2022-08-18,3.654108
2023-04-18,0.75
2023-06-15,6.46
2021-08-27,3.474
2022-04-01,0.699
2022-07-14,4.26
2022-08-18,1.546713
2022-09-20,2.009323
2022-11-01,2.191188
2022-11-01,2.920108
2022-11-29,1.97
2022-11-29,2.43
2023-04-18,0.93
2023-07-26,0
2022-04-15,0.666
2023-04-18,1.53
2021-08-27,2.965
2022-04-01,0.74
2023-04-18,0.84
2021-08-27,1.953
2022-04-01,0.81
2022-04-01,0.559
2022-04-15,1.097
2022-07-14,4.469
2022-08-18,3.300922
2022-09-20,12.95108
2023-04-18,0.99
2023-06-15,3.64
2022-04-01,0.455
2022-04-15,0.638
2022-07-14,2.854
2022-08-18,1.967646
2023-06-15,2.37
2021-05-27,0.833
2021-07-30,1.613
2022-04-15,0.78
2022-07-14,6.487
2021-08-27,2.712
2022-04-15,0.589
2022-07-14,3.085
2021-08-27,1.858
2022-04-15,0.815
2022-04-15,0.691
2021-05-27,0.8
2021-07-30,1.176
2021-08-27,1.789
2022-04-01,0.484
2022-07-14,2.537
2022-08-18,1.213434
2022-09-20,1.160394
2022-11-01,2.23291
2022-11-01,2.003361
2022-11-29,1.49
2022-11-29,1.51
2023-04-18,0.79
2023-06-15,1.12
2023-07-26,0
2021-08-27,0.124
2022-04-15,0.723
2022-07-14,2.587
2022-08-18,0.911942
2022-09-20,1.896164
2022-11-01,5.231225
2022-11-29,4.73
2023-04-18,0.68
2023-06-15,1.55
2021-07-30,1.004
2021-09-27,1.003
2022-04-15,1.665
2022-07-27,0
2022-07-27,0
2022-09-21,0.12
2022-09-21,0.17
2022-11-02,0
2022-11-02,0
2022-11-17,0
2022-12-01,0
2022-12-01,0
2023-06-07,0
2023-06-07,0
2023-06-14,0
2023-06-14,0
2023-07-25,0
2023-07-25,0
2021-09-27,0.875
2022-04-15,0.734
2022-07-14,2.385
2022-08-11,1.837988
2022-09-21,1.5
2021-05-27,0.724
2021-07-30,0.941
2021-09-27,0.704
2022-04-15,0.731
2022-07-14,5.18
2023-06-14,1.96
2021-09-27,0.744
2022-07-14,4.193
2021-05-27,3.365
2021-09-27,0.794
2022-04-15,0.704
2022-07-14,2.143
2022-08-11,2.040609
2022-09-21,0.77
2023-04-18,0.68
2021-09-27,1.005
2022-07-14,3.654
