date,value
2021-07-30,0.011
2021-08-27,0.018
2022-04-01,0
2022-04-15,0.093
2022-07-14,0.015
2022-08-18,0
2022-09-20,0
2022-11-01,0
2022-11-29,0
2023-02-23,0.45
2023-06-15,0
2021-07-30,0.022
2021-08-27,0.022
2022-04-01,0
2022-04-15,0.122
2022-07-14,0.016
2022-08-18,0
2022-09-20,0
2022-11-01,0
2022-11-29,0
2023-04-18,0
2023-06-15,0
2023-07-26,0
2021-08-27,0
2022-04-15,0.104
2022-07-14,0.012
2022-08-18,0
2022-09-20,0
2022-11-01,0
2022-11-29,0
2023-04-18,0.02
2023-06-15,0.02
2023-07-26,0
2021-05-27,0.055
2021-05-27,0.066
2021-07-30,0.113
2021-07-30,0.105
2021-08-27,0.182
2021-08-27,0.449
2021-10-22,0.155
2021-10-22,0.197
2021-10-22,0.185
2021-10-22,0.207
2021-12-01,0.074
2021-12-01,0.075
2021-12-01,0
2022-04-01,0.41
2022-04-15,0.167
2022-06-15,0.215
2022-06-15,0.155
2022-06-15,0.193
2022-06-15,0.281
2022-06-15,0
2022-06-15,0
2022-07-14,0
2022-07-14,0
2022-07-14,0.279
2022-08-18,0
2022-08-18,0
2022-08-18,0.114
2022-09-20,0.009
2022-09-20,0
2022-09-20,0.211
2022-09-20,0.16
2022-11-01,0.791
2022-11-29,0
2022-11-29,0
2022-11-29,0.05
2023-02-23,0
2023-02-23,0
2023-02-23,0.4
2023-04-18,0.15
2023-04-18,0
2023-04-18,0.2
2023-06-07,0.07
2023-06-07,0.03
2023-06-15,0
2023-06-15,0
2023-06-15,0.03
2023-07-26,0
2023-07-26,0
2023-07-26,0
2021-05-27,0.098
2021-05-27,0.099
2021-07-30,0.152
2021-08-27,0.69
2022-04-01,0.056
2022-07-14,0.542
2021-05-27,0.06
2021-05-27,0.057
2022-04-01,0.046
2021-08-27,0.142
2022-04-01,0.068
2022-07-14,0.445
2022-08-18,0.054
2022-09-20,0.131
2022-11-01,0.129
2022-11-01,0.109
2022-11-29,0.1
2022-11-29,0.15
2023-04-18,0.19
2023-06-15,0.15
2023-07-26,0
2021-08-27,0.268
2022-04-15,0.065
2022-07-14,0.626
2022-04-01,0.091
2022-07-14,0.163
2022-08-18,0.317
2023-04-18,0.1
2023-06-15,0.91
2021-08-27,0.154
2022-04-01,0.028
2021-08-27,0.15
2022-04-01,0.071
