group,A,B,C,D
Aurand Run connection to P1,482.5171058,1274.710598,1265.070514,628.5281912
Aurand Run downstream,679.8909578,1087.484793,1139.905536,962.2593429
Aurand Run upstream,1138.572881,603.1753532,729.1950413,579.9381333
Wetland Pool 1,1224.429432,1151.222201,588.0059009,1046.817985
Wetland Pool 11,1101.637979,1016.404958,611.5660293,1166.265054
Wetland Pool 12,912.6618065,771.1227571,966.2507353,1125.842803
Wetland Pool 14,1011.183174,1034.549095,695.0584231,1132.302745
Wetland Pool 15,1035.215588,404.4717056,535.9790643,809.2980928
Wetland Pool 16,1192.514455,1203.163331,564.039701,450.3116746
Wetland Pool 18,520.9762047,906.7426915,675.1264583,908.9501101
Wetland Pool 19,593.7599441,931.4944476,741.0391144,1000.398924
Wetland Pool 2,1245.24463,1188.867021,368.9937449,984.1029139
Wetland Pool 20,790.9964261,1214.853357,349.668876,1187.955959
Wetland Pool 21,734.7575081,795.5091915,624.6075859,476.0743551
Wetland Pool 22,748.7204933,958.056289,508.934873,1078.876194
Wetland Pool 24,851.3313566,434.3238142,581.3015139,759.4634682
Wetland Pool 25,492.2502231,1299.059717,596.0299472,777.3771848
Wetland Pool 26,880.3799387,1112.326238,319.9047719,1012.010707
Wetland Pool 27,469.943279,1095.345954,706.4417939,939.8745836
Wetland Pool 28,446.0701708,1270.904705,1021.312585,353.4579873
Wetland Pool 29,1088.109506,609.8054681,704.8679146,719.7431182
Wetland Pool 3,1210.670239,905.3762975,1138.087695,1213.895724
Wetland Pool 30,879.1069604,628.2276078,406.6130591,515.2845136
Wetland Pool 31,877.8391939,569.881949,810.5872047,345.375578
Wetland Pool 33,342.8253593,775.4891674,628.7626885,565.7210743
Wetland Pool 34,1290.547636,1272.030418,1201.141331,933.6134631
Wetland Pool 35,562.5670105,1171.350584,1183.228523,899.1542794
Wetland Pool 36,1292.877173,800.2346721,639.0094945,1118.95814
Wetland Pool 37,329.2447536,1019.247075,1077.125112,796.9088587
Wetland Pool 38,675.8519798,954.3460244,1135.339713,973.3091278
Wetland Pool 39,931.7092745,1049.471977,541.5067219,798.2877147
Wetland Pool 4,849.9050401,669.3733357,618.7308948,867.7258301
Wetland Pool 40,904.2491247,1057.7573,426.0656422,1124.44209
Wetland Pool 41,950.7689898,528.9721796,918.9722621,955.0788753
Wetland Pool 42,455.8457004,1024.232192,1103.14756,869.4330531
Wetland Pool 43,588.4047893,621.4723904,1104.762055,1261.517769
Wetland Pool 5,482.541076,538.6830733,999.8968533,908.5245009
Wetland Pool 7,652.6521459,1169.730214,436.3436287,808.3784743
Wetland Pool 8,722.9895682,379.8203579,678.8162334,1272.642386
Wetland Pool 9,848.5901062,867.3551035,647.318477,841.5080361
Wetland Pool 6,1058.541228,1014.398799,346.9112523,328.9140744
Wetland Pool 13,491.9202846,954.6798511,1225.225119,1086.742774
Wetland Pool 10,609.4588793,1296.273149,589.4963239,1210.903915
Wetland Pool 17,564.89773,837.6210173,1086.062781,546.9863626
Wetland Pool 32,627.6052059,1007.37439,545.7227001,556.8238317
