group,A,B,C,D
Aurand Run connection to P1,1.864502353,1.457472112,1.279706901,2.427091146
Aurand Run downstream,1.990597324,2.077730776,0.621368344,2.171655442
Aurand Run upstream,2.089541564,1.993735548,1.36442056,1.401978444
Wetland Pool 1,1.967948992,0.961827756,1.131387762,2.221408656
Wetland Pool 11,0.72785591,0.587905207,0.938970889,1.039945264
Wetland Pool 12,1.957089443,1.591713595,2.187101405,1.315159525
Wetland Pool 14,2.040367502,2.315699546,1.029509873,1.001674808
Wetland Pool 15,2.364487147,1.206184199,0.560122468,1.29251523
Wetland Pool 16,1.91333857,2.280375088,0.775309577,1.313405996
Wetland Pool 18,2.317953973,1.065805984,0.559008748,1.156559474
Wetland Pool 19,1.433154057,2.220090059,2.444361609,2.383799909
Wetland Pool 2,0.812859839,1.606852478,0.769094475,1.155173982
Wetland Pool 20,2.087687128,1.973533076,1.179410162,2.40272669
Wetland Pool 21,0.579246332,2.058638759,2.254334715,2.311456372
Wetland Pool 22,2.267336335,1.65963363,0.721786928,2.337693299
Wetland Pool 24,1.733463013,1.013356252,0.792227044,1.902351026
Wetland Pool 25,0.701296314,2.172082296,0.894487357,1.40181101
Wetland Pool 26,0.930545117,0.905304034,0.893864371,0.954249558
Wetland Pool 27,1.915779731,2.271414198,2.143824946,0.505180724
Wetland Pool 28,1.388610867,1.573670525,1.785435545,1.682967758
Wetland Pool 29,1.666483809,2.38426665,1.369283238,0.778713955
Wetland Pool 3,2.335207503,0.808826931,1.558981021,1.703576622
Wetland Pool 30,1.111672037,1.003187361,0.896303354,1.090177317
Wetland Pool 31,1.335645018,2.332600041,0.687266142,0.733386957
Wetland Pool 33,1.835000672,1.686302469,0.643591095,1.217565506
Wetland Pool 34,2.1097259,1.560071181,2.154421729,0.901495434
Wetland Pool 35,2.363849892,0.762185493,0.686628476,2.446489297
Wetland Pool 36,2.317807491,2.096939698,1.019787054,0.553845591
Wetland Pool 37,2.102708126,2.208557427,2.384311498,2.191215391
Wetland Pool 38,1.370932918,1.091027084,1.97131084,1.495788373
Wetland Pool 39,1.368398815,0.914152793,1.030368363,1.2129984
Wetland Pool 4,1.696828823,2.142342076,1.664105064,1.469522747
Wetland Pool 40,0.743348832,1.914915227,1.402859756,1.419459591
Wetland Pool 41,1.360130433,2.327503315,1.954000473,1.678697994
Wetland Pool 42,0.730772724,1.913539282,2.475201918,1.349587884
Wetland Pool 43,2.294386839,1.936828576,1.306731293,2.088476747
Wetland Pool 5,1.80944587,0.94938191,1.334861564,1.520064904
Wetland Pool 7,1.408603761,1.134133028,1.814736661,0.670471135
Wetland Pool 8,0.939848645,1.014729092,2.425067872,0.824773451
Wetland Pool 9,0.790845783,0.842211934,2.092209053,1.211313291
Wetland Pool 6,1.540287053,1.384383552,2.301890553,1.704292182
Wetland Pool 13,1.128015207,2.406296482,0.671035505,1.181009766
Wetland Pool 10,2.209148999,1.829782985,0.935074808,2.237910614
Wetland Pool 17,1.39439434,1.238173924,1.922180182,0.537123753
Wetland Pool 32,0.670812674,0.653957603,2.221963347,0.575335356
