group,A,B,C,D
Aurand Run connection to P1,3.45495143,2.687235363,3.57983697,3.674768381
Aurand Run downstream,3.519134989,2.759302096,1.442051586,2.719127036
Aurand Run upstream,3.800893903,1.58796631,1.583728061,3.0199086
Wetland Pool 1,1.869545022,1.964528196,0.936369268,2.486721401
Wetland Pool 11,3.011672845,1.365613088,2.644141637,1.569618934
Wetland Pool 12,1.163003965,0.968994385,2.030956849,1.654265565
Wetland Pool 14,3.415920547,1.092417581,1.19875729,3.835653612
Wetland Pool 15,2.624717828,2.82354899,2.105496265,1.779200696
Wetland Pool 16,2.739359311,2.563331298,2.429187877,1.734451858
Wetland Pool 18,2.83801273,1.381329925,3.16060602,2.353516698
Wetland Pool 19,2.624976253,1.164825182,2.618057903,1.75344442
Wetland Pool 2,2.019476903,3.014674428,1.985071676,3.672566772
Wetland Pool 20,2.386132385,2.318241446,2.951305122,3.539515014
Wetland Pool 21,3.789497925,3.772606848,1.339439165,3.260069039
Wetland Pool 22,3.290394142,2.260778512,2.08243024,0.972220279
Wetland Pool 24,2.800032643,3.854570873,2.592113971,2.856950966
Wetland Pool 25,1.534448869,1.978797325,2.604993758,2.883869614
Wetland Pool 26,3.037918584,1.694211965,2.519344179,1.247257265
Wetland Pool 27,3.278827306,2.976892266,2.50535656,2.638200437
Wetland Pool 28,1.372098278,2.555924121,3.441269035,2.686162983
Wetland Pool 29,1.52830752,1.210510154,3.06165671,2.108836634
Wetland Pool 3,2.907443768,3.493461716,3.625635626,3.349810423
Wetland Pool 30,1.335231389,3.467991882,2.075081803,1.39937109
Wetland Pool 31,3.160533109,2.173013842,3.702007288,3.726101674
Wetland Pool 33,3.241805762,1.571034286,1.732683945,3.652611254
Wetland Pool 34,1.829243266,1.493917297,3.50034011,2.060753152
Wetland Pool 35,1.874016454,2.233994086,3.08352355,3.351190736
Wetland Pool 36,2.799238529,2.138567085,2.032615742,1.200469084
Wetland Pool 37,3.697782562,3.80456844,3.609455389,2.539773485
Wetland Pool 38,3.14964432,2.93127613,3.57209586,2.434345709
Wetland Pool 39,2.711781923,2.41819226,1.923480883,1.226646143
Wetland Pool 4,1.397596222,2.475814713,3.835324866,3.190965562
Wetland Pool 40,3.21064194,2.380991611,1.042911865,3.435223705
Wetland Pool 41,2.176504366,3.331876928,2.3440927,1.891077435
Wetland Pool 42,1.348747565,0.953196164,3.265448412,3.790687527
Wetland Pool 43,1.987813607,1.416526058,2.710292551,2.686629938
Wetland Pool 5,1.603149417,3.442209876,3.31304095,1.688397546
Wetland Pool 7,1.410393539,1.802968569,2.315538409,2.547631355
Wetland Pool 8,1.984174973,0.935682153,2.535652453,3.515235723
Wetland Pool 9,2.624590069,1.404102561,2.452400888,3.675172984
Wetland Pool 6,3.836162996,3.202037643,2.447294341,3.607370857
Wetland Pool 13,3.826208518,2.35428159,1.205584447,2.262589342
Wetland Pool 10,3.454915231,2.725516661,2.645897665,3.163559199
Wetland Pool 17,1.375736668,2.840685198,2.392936398,2.165333496
Wetland Pool 32,2.107106628,3.859709089,3.547703541,1.521267906
