group,A,B,C,D
Aurand Run connection to P1,1.852214408,3.266680903,3.330759777,2.659389728
Aurand Run downstream,3.387567185,2.77071231,2.815221454,1.019510421
Aurand Run upstream,2.304253042,2.930365587,1.998761316,2.752950948
Wetland Pool 1,2.205158634,1.600757307,1.703964171,2.926373907
Wetland Pool 11,1.410471297,0.552884944,2.820237204,1.348192258
Wetland Pool 12,1.498861848,3.088662476,0.775325392,2.48719287
Wetland Pool 14,1.134905143,2.611801213,1.324099165,1.555624421
Wetland Pool 15,1.356592867,1.739928808,1.186726843,1.528305355
Wetland Pool 16,1.05042773,1.791775224,2.427549847,3.242521714
Wetland Pool 18,1.639475689,2.393252931,3.10938653,2.129543331
Wetland Pool 19,1.522692215,3.410167121,2.918676941,3.229134015
Wetland Pool 2,1.241566202,3.338830419,0.664929952,2.142060466
Wetland Pool 20,0.800695711,1.678317812,1.137580906,1.338174597
Wetland Pool 21,0.935736086,2.265494964,3.22515819,2.732377013
Wetland Pool 22,0.933072875,2.35231654,0.776585048,2.888929889
Wetland Pool 24,2.585682862,1.193166863,2.702254848,2.49347946
Wetland Pool 25,0.643058674,1.41375604,2.137601544,3.077395163
Wetland Pool 26,1.573093641,1.540520964,1.547655556,1.752268353
Wetland Pool 27,0.982839075,1.262196767,1.83100956,3.388983454
Wetland Pool 28,3.286317079,1.653571245,1.837385917,2.39496985
Wetland Pool 29,2.652182207,0.700562587,2.208598739,2.131429025
Wetland Pool 3,0.807524648,2.205797012,3.302223003,1.294008884
Wetland Pool 30,3.419827346,0.966872948,0.922345723,2.592622621
Wetland Pool 31,2.46593479,2.316125534,2.053420383,1.056541637
Wetland Pool 33,2.582693993,1.803039373,3.354275223,0.517968159
Wetland Pool 34,1.058444004,2.308658085,2.271470997,1.14881187
Wetland Pool 35,1.490485977,1.762456269,2.010342493,1.733971909
Wetland Pool 36,1.989266383,1.058274448,2.911770436,3.070659033
Wetland Pool 37,2.063386068,0.583688867,3.115302927,2.639251762
Wetland Pool 38,2.747604326,0.963258333,1.388842867,2.571919241
Wetland Pool 39,1.495623985,0.551577656,0.777144201,2.19168231
Wetland Pool 4,2.832672407,0.65453161,2.200478668,2.586329306
Wetland Pool 40,0.884543544,2.663937761,3.390512205,2.556303618
Wetland Pool 41,2.527145531,2.33190625,1.124291476,0.847374368
Wetland Pool 42,2.190116703,3.458571925,3.018453505,3.255195908
Wetland Pool 43,3.031647631,2.70070079,1.668444914,2.73612573
Wetland Pool 5,0.872183467,3.354250968,2.450762811,1.383567707
Wetland Pool 7,1.834266637,3.06737603,2.909716014,0.798047276
Wetland Pool 8,0.546452043,1.819000085,1.124229151,2.933647927
Wetland Pool 9,0.694601114,2.794158076,3.005752967,1.873025476
Wetland Pool 6,0.860192873,1.098402676,2.741984839,0.932553601
Wetland Pool 13,2.700683985,1.423035109,0.891682057,1.674420301
Wetland Pool 10,1.001227955,2.322184698,2.36313656,1.926130684
Wetland Pool 17,2.746681874,0.770351833,1.16169351,2.15516653
Wetland Pool 32,1.891946476,1.450158401,1.945373913,1.552926454
